locus	BG11_Control	BG11_Lys	difference
slr1838	0.213933359463908	0.35057681839229277	-0.13664345892838475
slr1839	-0.2709091666129809	-0.909897860936861	0.6389886943238801
slr0436	0.06085319442872723	-1.3503522260655074	1.4112054204942346
sll1030	0.8515339781818582	0.4240873479124095	0.4274466302694487
sll1031	0.5383719710382483	-0.12837911373642114	0.6667510847746694
sll1032	0.5631330129213269	0.33347391431827117	0.22965909860305572
sll1513	-0.6707120638215395	-0.6929693021228657	0.0222572383013262
slr1369	-0.365985726699873	-1.0504769725532483	0.6844912458533754
slr2143	0.17124518312505801	0.22685781672803942	-0.05561263360298141
sll0807	-1.1694131994021806	-1.215394723898781	0.04598152449660042
slr0772	0.10515902555808501	-0.09135660780805929	0.1965156333661443
slr1777	-0.22365807951726385	-1.348852032710281	1.1251939531930173
slr0056	-0.44811600507635757	-1.2439370758368111	0.7958210707604536
slr1055	-1.6238932482129178	-1.2329312244710104	-0.39096202374190736
slr1030	-1.1033181909150278	-1.269245832389077	0.16592764147404915
slr0749	0.0736822397432158	0.1895959643417429	-0.11591372459852708
slr0525	-1.3765271354935762	-1.6925378816138987	0.31601074612032254
slr0750	-0.06403957979293386	0.25219168665165775	-0.3162312664445916
slr1457	-0.0960966728433082	0.08308615418211164	-0.17918282702541982
sll0891	-0.15557660779637136	-0.002024542545262066	-0.1535520652511093
sll1298	0.10526652797605708	0.4220118218244651	-0.31674529384840805
slr1641	0.2874105722216511	-0.18468476772663495	0.47209533994828606
slr0156	-1.649472520700125	-0.6631708956736737	-0.9863016250264514
sll0020	-1.5930860461452125	-1.971254158701574	0.3781681125563614
slr0164	-1.4643327968552997	-1.1614469976932567	-0.30288579916204306
slr0165	-0.824403360774237	-1.7086081303328076	0.8842047695585705
slr0542	-0.7449356274585336	-0.41974659607032266	-0.3251890313882109
sll0534	-0.17827873683974826	-1.4071680674976483	1.2288893306579
sll0535	-0.41289590487382943	-0.32399279388174457	-0.08890311099208487
slr0040	-2.298257241498503	-1.5948507964484986	-0.7034064450500044
slr0041	-1.7633098824947953	-1.3182672809413256	-0.44504260155346964
sll0030	-1.2373953126286663	-0.8173334879412486	-0.4200618246874177
slr0260	-0.005963978725219663	-0.11262366752034375	0.1066596887951241
sll1890	0.5241813845221207	-0.14865895329072853	0.6728403378128492
slr1211	-0.45864550024643025	0.3235664283177604	-0.7822119285641906
slr0216	0.19333609441224142	0.17945860783040457	0.013877486581836851
slr0502	0.03955004184249952	0.2019449218224618	-0.16239487997996227
slr1237	-0.08707803982925688	-0.08582580784195415	-0.0012522319873027321
sll1929	0.0965668248152577	0.2486668177490927	-0.15209999293383497
sll1578	-0.847229575050637	-1.437505935611658	0.590276360561021
sll1577	-0.9009321000933486	-1.6493394509537762	0.7484073508604276
sll1580	0.05196746425441736	-0.28173423321742824	0.3337016974718456
sll1579	-0.6949909120515558	-0.5004702440439539	-0.19452066800760193
ssl3093	0.0940319803277554	0.5579748401581164	-0.463942859830361
slr1878	0.18093659760150768	-0.7339246383247551	0.9148612359262628
sll1051	-0.02335397908701121	0.09995795813771141	-0.12331193722472263
slr2051	-0.7826177946664352	-1.0510360159842338	0.2684182213177986
sll1471	-0.3027803905002177	-0.22836775574399584	-0.07441263475622187
slr0739	-0.6172751639195423	-0.9981314289819966	0.3808562650624543
slr0088	0.2497684612116668	0.0595688345606819	0.1901996266509849
slr0940	-0.09734403134612908	-0.44183718412488715	0.3444931527787581
slr1125	0.0674507319205966	0.2997136342965577	-0.2322629023759611
slr1448	0.14669245350230412	0.32584891204040023	-0.17915645853809611
sll1704	0.016920650035731444	0.10241939316659628	-0.08549874313086483
sll1899	-0.01672094374101825	0.29658271514460705	-0.3133036588856253
slr1136	0.13792083478049919	0.3660994445346597	-0.22817860975416052
sll0813	-0.11723266404535876	0.6720666329957888	-0.7892992970411477
slr1137	0.04022225505163472	0.28814300576678914	-0.2479207507151544
slr2082	-0.11038313852348908	-0.08382657188272077	-0.026556566640768303
slr1138	-0.0828871570102848	0.05763571653134601	-0.14052287354163082
slr2083	-0.012248840481878149	-0.10590485277165335	0.0936560122897752
slr0008	-0.6230382475207268	-0.3994703189275503	-0.22356792859317648
slr0257	0.3270831042122921	1.7940935227146508	-1.4670104185023587
sll0646	0.1793360261699368	0.08213048403622807	0.09720554213370873
slr1991	-0.1633202006535623	0.17037525599285117	-0.3336954566464134
slr1379	0.1871660860348786	0.22889522176538626	-0.041729135730507655
slr1380	-0.14992175454245107	0.8971427397738464	-1.0470644943162974
slr0899	0.21906248544602736	0.40105256674033507	-0.18199008129430772
slr1251	-0.07659543793060063	-0.0945445736053455	0.017949135674744876
slr0574	-0.17200395577093855	-0.7049918583212795	0.532987902550341
slr1455	0.14709806195143244	-0.001713310070078561	0.14881137202151098
slr0676	0.0568385671165777	3.6066504290166512	-3.5498118619000736
slr1348	-1.4354983039391094	-1.3012572208168045	-0.13424108312230487
sll0378	0.7146501321725753	-0.12370985876822964	0.8383599909408049
slr1791	0.07865128651758917	-1.0141617478362361	1.0928130343538254
slr1842	-0.3026495907844305	-0.34422652393870423	0.04157693315427374
sll0712	-0.07173656811674085	0.1317979285245552	-0.20353449664129608
sll0895	0.253231320278977	-0.24283204313753845	0.49606336341651547
slr0958	-0.17383972136465026	-1.065761903450874	0.8919221820862238
slr1453	-0.8116134447712974	-1.2589918699835771	0.4473784252122798
slr1454	0.07092831623178167	0.2523491868926093	-0.18142087066082765
sll1245	-0.5286222931891846	0.15926772523805094	-0.6878900184272356
slr0804	-0.5047748975206066	-0.5957700659512901	0.09099516843068356
slr0646	0.33722623189080436	0.1552218663547965	0.18200436553600785
slr0550	0.46341725407324597	1.369122688941758	-0.9057054348685121
sll1058	-0.08517054621568113	-0.7705729148160024	0.6854023686003213
slr1665	0.10885684911626789	-0.016896804570521687	0.1257536536867896
ssl2296	0.3126049615147954	0.41003366860504187	-0.09742870709024648
sll1314	0.07388460691247288	0.022975506160874692	0.050909100751598185
slr1556	-0.011112808519519825	0.21969467955144562	-0.23080748807096543
slr1874	0.5735385858911535	-0.17204930503034613	0.7455878909214996
slr0083	0.35029343709011657	0.05177166318371531	0.2985217739064013
