locus	gene_name	gene_name_short	protein
ncr1360	ncr1360	ncr1360	ncr1360
ncr1380	ncr1380	ncr1380	ncr1380
ncr1390	ncr1390	ncr1390	ncr1390
ncr1395	ncr1395	ncr1395	ncr1395
ncr1397	ncr1397	ncr1397	ncr1397
ncr1400	ncr1400	ncr1400	ncr1400
ncr1410	ncr1410	ncr1410	ncr1410
ncr1420	ncr1420	ncr1420	ncr1420
ncr1430	ncr1430	ncr1430	ncr1430
ncr1440	ncr1440	ncr1440	ncr1440
ncr1450	ncr1450	ncr1450	ncr1450
ncr1460	ncr1460	ncr1460	ncr1460
ncr1470	ncr1470	ncr1470	ncr1470
ncr1480	ncr1480	ncr1480	ncr1480
ncr1490	ncr1490	ncr1490	ncr1490
ncr1500	ncr1500	ncr1500	ncr1500
ncr1510	ncr1510	ncr1510	ncr1510
ncr1520	ncr1520	ncr1520	ncr1520
ncr1525	yfr1 ncr1525	ncr1525	Yfr1
ncr1530	ncr1530	ncr1530	ncr1530
ncr1550	ncr1550	ncr1550	ncr1550
ncr1560	ncr1560	ncr1560	ncr1560
ncr1570	ncr1570	ncr1570	ncr1570
ncr1580	ncr1580	ncr1580	ncr1580
ncr1590	ncr1590	ncr1590	ncr1590
ncr1600	ncr1600	ncr1600	ncr1600
ncr1610	ncr1610	ncr1610	ncr1610
ncr1620	ncr1620	ncr1620	ncr1620
ncr1630	ncr1630	ncr1630	ncr1630
ncr1640	ncr1640	ncr1640	5' UTR of fus, elongation factor EF-G
ncr1650	ncr1650	ncr1650	5' UTR of sigA
ncr1660	ncr1660	ncr1660	ncr1660
ncr1670	ncr1670	ncr1670	ncr1670
ncr1680	ncr1680	ncr1680	ncr1680
ncr1690	ncr1690	ncr1690	ncr1690
ncr1700	ncr1700	ncr1700	ncr1700
ncr1710	ncr1710	ncr1710	ncr1710
ncr1720	ncr1720	ncr1720	ncr1720
TU1564	nsiR5 TU1564	NsiR5	NsiR5; TU1564
TU728	nsir6 TU728	NsiR6	NsiR6; TU728
TU3627	psir1 TU3627	PsiR1	PsiR1; part of TU3627
TU79	psir2 TU79	PsiR2	PsiR2; TU79
