locus_tag	GO_ID
sll1443	GO:0044210
sll1443	GO:0046872
sll1433	GO:0005524
sll1433	GO:0046496
sll1433	GO:0046872
sll1433	GO:0052855
sll1433	GO:0052856
sll1433	GO:0052857
sll1433	GO:0110051
slr1164	GO:0004748
slr1164	GO:0005524
slr1164	GO:0005971
slr1164	GO:0006260
slr1164	GO:0009263
slr1171	GO:0004602
slr1171	GO:0034599
sll1558	GO:0000287
sll1558	GO:0002134
sll1558	GO:0003983
sll1558	GO:0005737
sll1558	GO:0006011
sll1558	GO:0009058
sll1558	GO:0016779
slr1689	GO:0003684
slr1689	GO:0003906
slr1689	GO:0006284
slr1689	GO:0008270
slr1689	GO:0034039
slr1689	GO:0140078
sll1541	GO:0010436
sll1541	GO:0016121
sll1541	GO:0046872
sll1541	GO:0102162
slr1645	GO:0010206
slr1645	GO:0010207
slr1645	GO:0030096
slr1645	GO:0031676
slr1645	GO:0031977
slr0400	GO:0003951
slr0400	GO:0005524
slr0400	GO:0005737
slr0400	GO:0006741
slr0400	GO:0016310
slr0400	GO:0019674
slr0400	GO:0046872
slr0400	GO:0051287
slr0402	GO:0000166
slr0402	GO:0005737
slr0402	GO:0005829
slr0402	GO:0009117
slr0402	GO:0009143
slr0402	GO:0009146
slr0402	GO:0017111
slr0402	GO:0035870
slr0402	GO:0036220
slr0402	GO:0036222
slr0402	GO:0046872
slr0402	GO:0047429
slr0665	GO:0003729
slr0665	GO:0003730
slr0665	GO:0003994
slr0665	GO:0005829
slr0665	GO:0006099
slr0665	GO:0019629
slr0665	GO:0046872
slr0665	GO:0047456
slr0665	GO:0047780
slr0665	GO:0051539
sll1498	GO:0004088
sll1498	GO:0005524
sll1498	GO:0005737
sll1498	GO:0005951
sll1498	GO:0006207
sll1498	GO:0006526
sll1498	GO:0006541
sll1498	GO:0044205
sll1471	GO:0015979
sll1471	GO:0030089
sll1471	GO:0031676
slr0757	GO:0007623
slr0757	GO:0042326
slr0757	GO:0042802
slr1652	GO:0000166
slr1652	GO:0004143
slr1652	GO:0005886
slr1652	GO:0010189
slr1652	GO:0010276
slr1652	GO:0016310
slr1652	GO:0033306
slr1185	GO:0005886
slr1185	GO:0009496
slr1185	GO:0015979
slr1185	GO:0016491
slr1185	GO:0031676
slr1185	GO:0043231
slr1185	GO:0045158
slr1185	GO:0046872
slr1185	GO:0051537
smr0001	GO:0009539
smr0001	GO:0015979
smr0001	GO:0030096
smr0001	GO:0031676
sll1931	GO:0004372
sll1931	GO:0005737
sll1931	GO:0005829
sll1931	GO:0006565
sll1931	GO:0006730
sll1931	GO:0008270
sll1931	GO:0019264
sll1931	GO:0030170
sll1931	GO:0035999
sll1931	GO:0046653
sll1931	GO:0046655
sll1931	GO:0070905
slr1289	GO:0000287
slr1289	GO:0004450
slr1289	GO:0005737
slr1289	GO:0006097
slr1289	GO:0006099
slr1289	GO:0051287
slr2076	GO:0005524
slr2076	GO:0009408
slr2076	GO:0016853
slr2076	GO:0042026
slr2076	GO:0051082
slr2076	GO:0051085
slr2076	GO:0140662
slr2076	GO:1990220
slr1137	GO:0004129
slr1137	GO:0005886
slr1137	GO:0006119
slr1137	GO:0009060
slr1137	GO:0015990
slr1137	GO:0020037
slr1137	GO:0022904
slr1137	GO:0046872
slr1137	GO:0070469
slr1136	GO:0004129
slr1136	GO:0005507
slr1136	GO:0005886
slr1136	GO:0042773
slr1136	GO:0070469
sml0001	GO:0009539
sml0001	GO:0015979
sml0001	GO:0030096
sml0001	GO:0031676
sll1577	GO:0015979
sll1577	GO:0030089
sll1577	GO:0031676
sll1249	GO:0004127
sll1249	GO:0004592
sll1249	GO:0005524
sll1249	GO:0005829
sll1249	GO:0006220
sll1249	GO:0015940
sll1249	GO:0015949
sll1249	GO:0016310
sll1249	GO:0036430
sll1249	GO:0036431
slr0854	GO:0003677
slr0854	GO:0003904
slr0854	GO:0006281
slr0854	GO:0009416
slr0854	GO:0071949
slr0066	GO:0008270
slr0066	GO:0008703
slr0066	GO:0008835
slr0066	GO:0009231
slr0066	GO:0050661
sll0689	GO:0006814
sll0689	GO:0015297
sll0689	GO:0031676
sll0689	GO:1902600
sll0247	GO:0009767
sll0247	GO:0010106
sll0247	GO:0016168
sll0247	GO:0030094
sll0247	GO:0031676
slr1643	GO:0003959
slr1643	GO:0004324
slr1643	GO:0030089
slr1643	GO:0031676
sll1194	GO:0009654
sll1194	GO:0015979
sll1194	GO:0019898
sll1194	GO:0030096
sll1194	GO:0031676
sll1194	GO:0042549
slr0902	GO:0005525
slr0902	GO:0005737
slr0902	GO:0006777
slr0902	GO:0016779
slr0902	GO:0046872
slr0902	GO:0061603
slr0902	GO:0061799
sll0550	GO:0010181
sll0550	GO:0016646
sll0550	GO:0046872
sll0821	GO:0006355
sll0821	GO:0009584
sll0821	GO:0009585
sll0821	GO:0009883
sll0047	GO:0009523
sll0047	GO:0015979
sll0047	GO:0031676
slr0528	GO:0000287
slr0528	GO:0005524
slr0528	GO:0005737
slr0528	GO:0007049
slr0528	GO:0008360
slr0528	GO:0008765
slr0528	GO:0009252
slr0528	GO:0051301
slr0528	GO:0071555
sll0899	GO:0000287
sll0899	GO:0000902
sll0899	GO:0003977
sll0899	GO:0005737
sll0899	GO:0006048
sll0899	GO:0008360
sll0899	GO:0009245
sll0899	GO:0009252
sll0899	GO:0019134
sll0899	GO:0031470
sll0899	GO:0043886
sll0899	GO:0071555
slr0549	GO:0004073
slr0549	GO:0009088
slr0549	GO:0009089
slr0549	GO:0009097
slr0549	GO:0019877
slr0549	GO:0046983
slr0549	GO:0050661
slr0549	GO:0051287
slr0549	GO:0071266
sll0757	GO:0000287
sll0757	GO:0004044
sll0757	GO:0004360
sll0757	GO:0005829
sll0757	GO:0006002
sll0757	GO:0006047
sll0757	GO:0006189
sll0757	GO:0006487
sll0757	GO:0006541
sll0757	GO:0009113
sll0757	GO:0051539
slr0782	GO:0006527
slr0782	GO:0016491
slr0782	GO:0031676
slr0782	GO:0046872
sll0750	GO:0000155
sll0750	GO:0005524
sll0750	GO:0007623
sll0750	GO:0097167
slr0008	GO:0004175
slr0008	GO:0004252
slr0008	GO:0006508
slr0008	GO:0007165
slr0008	GO:0030288
slr0008	GO:0031979
slr0633	GO:0005737
slr0633	GO:0009229
slr0633	GO:0043799
slr0633	GO:0050660
slr0633	GO:1990107
sll0370	GO:0004088
sll0370	GO:0005524
sll0370	GO:0005737
sll0370	GO:0006526
sll0370	GO:0006541
sll0370	GO:0044205
sll0370	GO:0046872
slr0520	GO:0004359
slr0520	GO:0004642
slr0520	GO:0005524
slr0520	GO:0005737
slr0520	GO:0006189
slr0520	GO:0006541
sll0469	GO:0000287
sll0469	GO:0002189
sll0469	GO:0004749
sll0469	GO:0005524
sll0469	GO:0005737
sll0469	GO:0006015
sll0469	GO:0006164
sll0469	GO:0009156
sll0469	GO:0016301
sll0469	GO:0016310
sll0098	GO:0000049
sll0098	GO:0002935
sll0098	GO:0005737
sll0098	GO:0019843
sll0098	GO:0030488
sll0098	GO:0046872
sll0098	GO:0051539
sll0098	GO:0070040
sll0098	GO:0070475
slr0115	GO:0000156
slr0115	GO:0000976
slr0115	GO:0005829
slr0115	GO:0006355
slr0115	GO:0007049
slr0115	GO:0007623
slr0115	GO:0032993
slr0115	GO:0051301
