Gene	sgRNA	eff
sll1203	sll1203|99	1
sll1203	sll1203|51	1
sll1203	sll1203|31	1
sll1202	sll1202|282	1
sll1202	sll1202|168	1
sll1202	sll1202|499	1
sll1202	sll1202|231	1
sll1202	sll1202|324	1
sll0219	sll0219|67	1
sll0219	sll0219|9	1
sll0219	sll0219|128	1
sll0219	sll0219|25	1
sll0219	sll0219|100	1
rfbD2	rfbD2|179	1
rfbD2	rfbD2|118	1
rfbD2	rfbD2|202	1
rfbD2	rfbD2|86	1
rfbD2	rfbD2|156	1
slr1494	slr1494|151	1
slr1494	slr1494|3	1
slr1494	slr1494|96	1
slr1494	slr1494|281	1
slr1494	slr1494|168	1
slr1495	slr1495|39	1
slr1495	slr1495|82	1
slr1495	slr1495|21	1
slr1495	slr1495|50	1
slr1495	slr1495|61	1
slr1493	slr1493|136	1
slr1493	slr1493|249	1
slr1493	slr1493|5	1
slr1493	slr1493|46	1
slr1493	slr1493|21	1
slr0742	slr0742|79	1
slr0742	slr0742|161	1
slr0742	slr0742|117	1
slr0742	slr0742|93	1
slr0742	slr0742|30	1
morR	morR|4	1
morR	morR|88	1
morR	morR|126	1
morR	morR|104	1
morR	morR|71	1
slr1100	slr1100|124	1
slr1100	slr1100|83	1
slr1100	slr1100|24	1
slr1100	slr1100|181	1
slr1100	slr1100|159	1
chlD	chlD|26	1
chlD	chlD|124	1
chlD	chlD|15	1
chlD	chlD|56	1
chlD	chlD|4	1
sll0217	sll0217|56	1
sll0217	sll0217|38	1
sll0217	sll0217|7	1
sll0217	sll0217|21	1
sll0217	sll0217|76	1
sll0216	sll0216|95	1
sll0216	sll0216|115	1
sll0216	sll0216|23	1
sll0216	sll0216|128	1
sll0216	sll0216|71	1
sll1658	sll1658|70	1
sll1658	sll1658|195	1
sll1658	sll1658|55	1
sll1658	sll1658|237	1
sll1658	sll1658|208	1
pcrR	pcrR|132	1
pcrR	pcrR|167	1
pcrR	pcrR|768	1
pcrR	pcrR|928	1
pcrR	pcrR|494	1
slr1411	slr1411|27	1
slr1411	slr1411|172	1
slr1411	slr1411|53	1
slr1411	slr1411|92	1
slr1411	slr1411|81	1
ppiB	ppiB|76	1
ppiB	ppiB|87	1
ppiB	ppiB|23	1
ppiB	ppiB|106	1
ppiB	ppiB|12	1
sll1663	sll1663|108	1
sll1663	sll1663|85	1
sll1663	sll1663|62	1
sll1663	sll1663|10	1
sll1663	sll1663|120	1
sll1660	sll1660|58	1
sll1660	sll1660|31	1
sll1660	sll1660|15	1
sll1660	sll1660|95	1
sll1660	sll1660|73	1
sll1665	sll1665|190	1
sll1665	sll1665|122	1
sll1665	sll1665|136	1
sll1665	sll1665|70	1
sll1665	sll1665|55	1
sll1664	sll1664|136	1
sll1664	sll1664|21	1
sll1664	sll1664|170	1
sll1664	sll1664|181	1
sll1664	sll1664|151	1
slr1104	slr1104|112	1
slr1104	slr1104|124	1
slr1104	slr1104|73	1
slr1104	slr1104|101	1
slr1104	slr1104|136	1
slr1417	slr1417|142	1
slr1417	slr1417|19	1
slr1417	slr1417|52	1
slr1417	slr1417|35	1
slr1417	slr1417|65	1
slr1414	slr1414|104	1
slr1414	slr1414|25	1
slr1414	slr1414|116	1
slr1414	slr1414|145	1
slr1414	slr1414|166	1
sll0696	sll0696|94	1
sll0696	sll0696|55	1
sll0696	sll0696|108	1
sll0696	sll0696|40	1
sll0696	sll0696|120	1
slr0613	slr0613|25	1
slr0613	slr0613|4	1
slr0613	slr0613|181	1
slr0613	slr0613|118	1
slr0613	slr0613|37	1
slr0612	slr0612|109	1
slr0612	slr0612|140	1
slr0612	slr0612|73	1
