# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t0_r2_T1.featureCounts.txt" "BG11_control_t0_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t0_r2_T1.bam
sll0228|55	sll0228|55	1	21	.	21	1252
sll0228|93	sll0228|93	1	20	.	20	191
sll0228|118	sll0228|118	1	18	.	18	270
sll0228|22	sll0228|22	1	17	.	17	242
sll0228|9	sll0228|9	1	21	.	21	314
cysH|152	cysH|152	1	20	.	20	304
cysH|61	cysH|61	1	19	.	19	224
cysH|79	cysH|79	1	22	.	22	754
cysH|94	cysH|94	1	21	.	21	494
cysH|30	cysH|30	1	20	.	20	199
sll0224|112	sll0224|112	1	21	.	21	237
sll0224|83	sll0224|83	1	19	.	19	252
sll0224|13	sll0224|13	1	17	.	17	283
sll0224|135	sll0224|135	1	22	.	22	415
sll0224|57	sll0224|57	1	22	.	22	515
sll0225|138	sll0225|138	1	19	.	19	352
sll0225|182	sll0225|182	1	18	.	18	716
sll0225|274	sll0225|274	1	21	.	21	342
sll0225|231	sll0225|231	1	17	.	17	279
sll0225|193	sll0225|193	1	19	.	19	133
slr1780|232	slr1780|232	1	20	.	20	593
slr1780|28	slr1780|28	1	17	.	17	388
slr1780|135	slr1780|135	1	22	.	22	331
slr1780|212	slr1780|212	1	20	.	20	341
slr1780|244	slr1780|244	1	20	.	20	295
ccmM|79	ccmM|79	1	21	.	21	327
ccmM|108	ccmM|108	1	22	.	22	234
ccmM|67	ccmM|67	1	22	.	22	212
ccmM|119	ccmM|119	1	22	.	22	262
ccmM|13	ccmM|13	1	22	.	22	654
slr1488|151	slr1488|151	1	18	.	18	217
slr1488|5	slr1488|5	1	19	.	19	828
slr1488|51	slr1488|51	1	22	.	22	211
slr1488|211	slr1488|211	1	17	.	17	146
slr1488|104	slr1488|104	1	20	.	20	409
ccmN|214	ccmN|214	1	19	.	19	528
ccmN|9	ccmN|9	1	22	.	22	333
ccmN|237	ccmN|237	1	20	.	20	458
ccmN|172	ccmN|172	1	17	.	17	456
ccmN|127	ccmN|127	1	21	.	21	1676
cad|27	cad|27	1	22	.	22	322
cad|50	cad|50	1	20	.	20	532
cad|138	cad|138	1	17	.	17	256
cad|89	cad|89	1	18	.	18	506
cad|8	cad|8	1	19	.	19	316
ccmK|119	ccmK|119	1	20	.	20	835
ccmK|28	ccmK|28	1	20	.	20	216
ccmK|39	ccmK|39	1	20	.	20	801
ccmK|55	ccmK|55	1	21	.	21	378
ccmK|76	ccmK|76	1	17	.	17	392
slr0722|138	slr0722|138	1	20	.	20	257
slr0722|7	slr0722|7	1	18	.	18	1075
slr0722|65	slr0722|65	1	17	.	17	616
